@relation BOOKKEEPER_3/BOOKKEEPER_3_training_set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
157,210,263,167,26.0,8,157,167,19.625,3,true
123,130,137,122,32.0,4,123,122,30.75,2,true
427,439,451,426,146.0,3,427,426,142.3333282470703,2,true
533,556,579,521,69.0,8,533,521,66.625,3,false
83,86,89,82,28.0,3,83,82,27.66666603088379,2,false
149,168,187,133,33.0,5,149,133,29.799999237060547,3,true
153,155,157,153,77.0,2,153,153,76.5,2,false
38,43,48,38,21.0,2,38,38,19.0,2,false
64,65,66,64,32.0,2,64,64,32.0,2,false
130,142,154,129,35.0,4,130,129,32.5,2,true
137,269,401,126,53.0,5,137,126,27.399999618530273,3,true
37,37,37,37,37.0,1,37,37,37.0,1,false
58,59,60,58,29.0,2,58,58,29.0,2,false
32,32,32,32,32.0,1,32,32,32.0,1,true
28,28,28,28,28.0,1,28,28,28.0,1,false
39,40,41,39,20.0,2,39,39,19.5,2,false
103,127,151,101,21.0,6,103,101,17.16666603088379,2,true
74,74,74,74,74.0,1,74,74,74.0,1,false
63,67,71,63,33.0,2,63,63,31.5,2,false
137,235,333,137,58.0,4,137,137,34.25,2,false
173,193,213,170,48.0,4,173,170,43.25,3,true
132,139,146,75,46.0,3,132,75,44.0,3,false
67,76,85,67,19.0,4,67,67,16.75,3,false
148,158,168,147,52.0,3,148,147,49.33333206176758,2,false
78,82,86,78,41.0,2,78,78,39.0,2,false
174,184,194,173,61.0,3,174,173,58.0,2,false
377,397,417,377,99.0,4,377,377,94.25,2,true
43,43,43,43,43.0,1,43,43,43.0,1,true
244,340,436,252,68.0,5,244,252,48.79999923706055,2,false
76,78,80,76,39.0,2,76,76,38.0,2,false
35,0,0,0,0.0,0,0,0,NaN,0,false
378,401,423,228,100.0,4,379,211,94.75,3,false
92,2,4,2,2.0,1,0,0,0.0,1,false
88,89,90,84,44.0,2,88,84,44.0,1,false
63,63,63,63,63.0,1,63,63,63.0,1,false
51,53,55,52,26.0,2,51,52,25.5,2,false
147,0,0,0,0.0,0,0,0,NaN,0,false
148,9,19,9,9.0,1,-1,0,-1.0,1,false
105,0,0,0,0.0,0,0,0,NaN,0,false
77,9,9,9,9.0,1,9,9,9.0,1,false
694,193,295,48,19.0,10,91,43,9.100000381469727,3,false
62,0,0,0,0.0,0,0,0,NaN,0,false
35,1,2,1,1.0,1,0,0,0.0,1,false
27,27,27,27,27.0,1,27,27,27.0,1,false
190,15,17,15,15.0,1,13,13,13.0,1,false
66,0,0,0,0.0,0,0,0,NaN,0,false
84,0,0,0,0.0,0,0,0,NaN,0,false
171,5,8,5,5.0,1,2,2,2.0,1,false
88,118,148,113,59.0,2,88,113,44.0,1,false
312,70,76,44,14.0,5,64,44,12.800000190734863,3,false
175,12,42,7,6.0,2,-18,3,-9.0,2,false
50,0,0,0,0.0,0,0,0,NaN,0,false
425,428,431,424,214.0,2,425,424,212.5,1,false
74,1,2,1,1.0,1,0,0,0.0,1,false
62,0,0,0,0.0,0,0,0,NaN,0,false
48,0,0,0,0.0,0,0,0,NaN,0,false
46,0,0,0,0.0,0,0,0,NaN,0,false
509,545,581,378,77.0,7,509,378,72.71428680419922,3,false
65,13,22,13,13.0,1,4,4,4.0,1,false
36,7,7,5,3.0,2,7,5,3.5,1,false
56,3,6,3,3.0,1,0,0,0.0,1,false
31,31,31,31,31.0,1,31,31,31.0,1,false
28,0,0,0,0.0,0,0,0,NaN,0,false
114,14,28,14,14.0,1,0,0,0.0,1,false
764,580,1422,106,29.0,20,-262,53,-13.100000381469727,3,false
363,5,16,5,5.0,1,-6,0,-6.0,1,false
183,0,0,0,0.0,0,0,0,NaN,0,false
58,0,0,0,0.0,0,0,0,NaN,0,false
800,101,121,73,20.0,5,81,62,16.200000762939453,2,false
41,0,0,0,0.0,0,0,0,NaN,0,false
582,183,368,106,26.0,7,-2,68,-0.2857142984867096,3,false
90,90,90,90,90.0,1,90,90,90.0,1,false
143,5,5,5,5.0,1,5,5,5.0,1,false
79,2,3,2,2.0,1,1,1,1.0,1,false
132,132,132,132,132.0,1,132,132,132.0,1,false
141,4,4,4,4.0,1,4,4,4.0,1,false
38,0,0,0,0.0,0,0,0,NaN,0,false
612,185,210,98,46.0,4,160,92,40.0,1,false
90,25,47,25,25.0,1,3,3,3.0,1,false
85,0,0,0,0.0,0,0,0,NaN,0,false
85,4,4,4,4.0,1,4,4,4.0,1,false
80,5,5,5,5.0,1,5,5,5.0,1,false
103,5,6,5,5.0,1,4,4,4.0,1,false
160,1,1,1,1.0,1,1,1,1.0,1,false
270,284,297,260,142.0,2,271,260,135.5,1,false
86,18,20,18,18.0,1,16,16,16.0,1,false
507,29,65,15,7.0,4,-7,6,-1.75,2,false
27,80,133,79,40.0,2,27,79,13.5,1,false
111,0,0,0,0.0,0,0,0,NaN,0,false
64,0,0,0,0.0,0,0,0,NaN,0,false
37,37,37,37,37.0,1,37,37,37.0,1,false
43,0,0,0,0.0,0,0,0,NaN,0,false
665,666,667,665,333.0,2,665,665,332.5,1,false
74,0,0,0,0.0,0,0,0,NaN,0,false
48,48,48,48,48.0,1,48,48,48.0,1,false
256,76,111,33,19.0,4,41,19,10.25,2,false
905,221,299,95,24.0,9,143,65,15.88888931274414,3,false
45,45,45,45,45.0,1,45,45,45.0,1,false
576,589,602,550,196.0,3,576,550,192.0,2,false
63,0,0,0,0.0,0,0,0,NaN,0,false
184,8,17,4,2.0,3,-1,1,-0.3333333432674408,2,false
113,10,12,10,5.0,2,8,9,4.0,2,false
172,20,22,10,6.0,3,18,8,6.0,2,false
108,4,4,4,4.0,1,4,4,4.0,1,false
98,1,2,1,1.0,1,0,0,0.0,1,false
49,0,0,0,0.0,0,0,0,NaN,0,false
148,0,0,0,0.0,0,0,0,NaN,0,false
36,2,4,2,2.0,1,0,0,0.0,1,false
79,0,0,0,0.0,0,0,0,NaN,0,false
172,21,30,11,10.0,2,12,10,6.0,1,false
400,407,414,397,135.0,3,400,397,133.3333282470703,2,false
92,0,0,0,0.0,0,0,0,NaN,0,false
46,128,761,92,16.0,8,-505,21,-63.125,2,false
153,30,103,19,5.0,6,-43,2,-7.166666507720947,3,false
209,5,5,5,5.0,1,5,5,5.0,1,false
27,0,0,0,0.0,0,0,0,NaN,0,false
451,534,617,425,106.0,5,451,425,90.19999694824219,3,false
105,0,0,0,0.0,0,0,0,NaN,0,false
276,61,62,30,20.0,3,60,30,20.0,2,false
186,211,235,183,52.0,4,187,183,46.75,2,false
