@relation OPENJPA_2/OPENJPA_2_training-set.arff

@attribute ' Size' numeric
@attribute ' LOCAdded' numeric
@attribute ' LOCTouched' numeric
@attribute ' maxLOCAdded' numeric
@attribute ' averageLOCAdded' numeric
@attribute ' NR' numeric
@attribute ' Churn' numeric
@attribute ' MaxChurn' numeric
@attribute ' AverageChurn' numeric
@attribute ' nAuthors' numeric
@attribute Buggy {'true','false'}

@data
265,269,273,265,89.0,3,265,265,88.33333587646484,2,false
44,88,132,44,22.0,4,44,40,11.0,1,false
53,76,99,54,15.0,5,53,54,10.600000381469727,1,false
187,191,195,180,63.0,3,187,180,62.33333206176758,2,false
32,32,32,32,16.0,2,32,32,16.0,1,false
145,284,423,145,71.0,4,145,137,36.25,1,false
318,459,600,335,65.0,7,318,335,45.42856979370117,1,false
162,165,168,161,55.0,3,162,161,54.0,2,false
93,93,93,93,46.0,2,93,93,46.5,1,false
131,258,385,132,51.0,5,131,124,26.200000762939453,1,false
586,950,1314,711,118.0,8,586,711,73.25,1,false
148,151,154,147,37.0,4,148,147,37.0,2,false
33,50,67,32,10.0,5,33,32,6.599999904632568,1,false
39,77,115,39,19.0,4,39,35,9.75,1,false
66,134,202,67,33.0,4,66,62,16.5,1,false
397,811,1225,371,90.0,9,397,340,44.11111068725586,2,false
257,266,275,263,66.0,4,257,263,64.25,2,false
67,133,199,68,26.0,5,67,60,13.399999618530273,2,false
55,55,55,55,27.0,2,55,55,27.5,1,false
82,165,248,83,41.0,4,82,78,20.5,1,false
105,216,327,105,54.0,4,105,102,26.25,1,false
87,178,269,89,29.0,6,87,82,14.5,2,false
68,150,232,70,21.0,7,68,65,9.714285850524902,2,false
87,91,95,87,30.0,3,87,87,29.0,2,false
62,130,198,66,26.0,5,62,61,12.399999618530273,1,false
38,76,114,39,19.0,4,38,34,9.5,1,false
104,218,332,108,43.0,5,104,103,20.799999237060547,1,false
194,309,424,198,23.0,13,194,198,14.923076629638672,2,false
114,219,324,108,43.0,5,114,103,22.799999237060547,1,false
3729,3761,3793,3721,537.0,7,3729,3721,532.7142944335938,2,false
86,86,86,86,43.0,2,86,86,43.0,1,false
44,44,44,44,22.0,2,44,44,22.0,1,false
185,190,195,178,47.0,4,185,178,46.25,2,false
57,107,157,51,21.0,5,57,47,11.399999618530273,2,false
40,83,126,40,16.0,5,40,37,8.0,1,false
64,136,208,66,27.0,5,64,61,12.800000190734863,2,false
24,46,68,24,11.0,4,24,20,6.0,1,false
62,128,194,62,32.0,4,62,58,15.5,1,false
411,415,419,383,138.0,3,411,383,137.0,2,false
117,168,219,130,28.0,6,117,130,19.5,1,false
182,383,584,193,76.0,5,182,176,36.400001525878906,1,false
38,73,108,38,18.0,4,38,34,9.5,1,false
266,287,308,266,71.0,4,266,266,66.5,2,false
45,88,131,45,22.0,4,45,42,11.25,1,false
46,72,98,46,12.0,6,46,46,7.666666507720947,1,false
35,69,103,35,17.0,4,35,32,8.75,1,false
62,125,188,63,31.0,4,62,58,15.5,1,false
345,862,1379,287,107.0,8,345,189,43.125,3,false
51,100,149,49,20.0,5,51,45,10.199999809265137,1,false
107,212,317,107,53.0,4,107,103,26.75,1,false
101,203,305,101,50.0,4,101,97,25.25,1,false
488,488,488,488,244.0,2,488,488,244.0,1,false
254,525,796,257,105.0,5,254,247,50.79999923706055,2,false
68,144,220,69,28.0,5,68,65,13.600000381469727,2,false
131,169,207,133,33.0,5,131,133,26.200000762939453,1,false
298,298,298,298,149.0,2,298,298,149.0,1,false
46,46,46,46,23.0,2,46,46,23.0,1,false
61,65,69,65,21.0,3,61,65,20.33333396911621,1,false
199,266,333,208,44.0,6,199,208,33.16666793823242,1,false
34,34,34,34,17.0,2,34,34,17.0,1,false
40,80,120,40,20.0,4,40,37,10.0,1,false
41,96,151,49,19.0,5,41,45,8.199999809265137,2,false
166,197,228,171,32.0,6,166,171,27.66666603088379,2,false
27,53,79,27,13.0,4,27,24,6.75,1,false
69,161,253,78,23.0,7,69,71,9.857142448425293,2,false
406,824,1242,404,164.0,5,406,398,81.19999694824219,2,false
90,188,286,90,37.0,5,90,86,18.0,2,false
49,66,83,49,13.0,5,49,49,9.800000190734863,1,false
36,36,36,36,18.0,2,36,36,18.0,1,false
70,147,224,70,36.0,4,70,67,17.5,1,false
192,381,570,192,95.0,4,192,186,48.0,1,false
85,97,109,86,24.0,4,85,86,21.25,2,false
938,1382,1826,1050,172.0,8,938,1050,117.25,1,false
47,47,47,47,23.0,2,47,47,23.5,1,false
46,46,46,46,23.0,2,46,46,23.0,1,false
1057,1522,1987,1161,253.0,6,1057,1161,176.1666717529297,1,false
295,590,885,298,98.0,6,295,263,49.16666793823242,1,false
83,83,83,83,41.0,2,83,83,41.5,1,false
319,644,969,322,80.0,8,319,307,39.875,2,false
40,81,122,41,20.0,4,40,36,10.0,1,false
80,161,242,81,40.0,4,80,76,20.0,1,false
80,80,80,80,40.0,2,80,80,40.0,1,false
96,107,118,106,26.0,4,96,106,24.0,2,false
119,246,373,119,61.0,4,119,116,29.75,1,false
163,163,163,163,81.0,2,163,163,81.5,1,false
258,264,270,260,88.0,3,258,260,86.0,2,false
114,227,340,114,56.0,4,114,111,28.5,1,false
217,217,217,217,108.0,2,217,217,108.5,1,false
38,38,38,38,19.0,2,38,38,19.0,1,false
38,75,112,38,18.0,4,38,34,9.5,1,false
72,141,210,72,35.0,4,72,68,18.0,1,false
75,83,91,75,27.0,3,75,75,25.0,2,false
104,226,348,108,45.0,5,104,102,20.799999237060547,2,false
317,658,999,314,109.0,6,317,308,52.83333206176758,2,false
29,29,29,29,14.0,2,29,29,14.5,1,false
1405,2783,4161,1413,397.0,7,1405,1341,200.7142791748047,2,false
79,166,253,83,33.0,5,79,73,15.800000190734863,2,false
35,35,35,35,17.0,2,35,35,17.5,1,false
40,80,120,40,20.0,4,40,36,10.0,1,false
112,112,112,112,56.0,2,112,112,56.0,1,false
332,672,1012,339,134.0,5,332,311,66.4000015258789,1,false
406,802,1198,407,200.0,4,406,385,101.5,1,false
1654,3129,4604,1676,347.0,9,1654,1440,183.77777099609375,2,false
89,107,125,89,21.0,5,89,89,17.799999237060547,1,false
157,314,471,157,78.0,4,157,149,39.25,1,false
216,458,700,229,91.0,5,216,211,43.20000076293945,1,false
113,224,335,113,56.0,4,113,109,28.25,1,false
27,52,77,27,13.0,4,27,23,6.75,1,false
108,146,184,116,29.0,5,108,116,21.600000381469727,1,false
41,41,41,41,20.0,2,41,41,20.5,1,false
602,604,606,601,201.0,3,602,601,200.6666717529297,1,false
75,149,223,77,29.0,5,75,69,15.0,1,false
347,480,613,366,96.0,5,347,366,69.4000015258789,1,false
24,24,24,24,24.0,1,24,24,24.0,1,false
36,94,152,47,18.0,5,36,43,7.199999809265137,1,false
67,132,197,67,33.0,4,67,63,16.75,1,false
130,131,132,124,43.0,3,130,124,43.33333206176758,2,false
117,121,125,117,40.0,3,117,117,39.0,2,false
83,167,251,84,41.0,4,83,79,20.75,1,false
670,1067,1464,677,76.0,14,670,677,47.85714340209961,2,false
470,1022,1574,495,127.0,8,470,447,58.75,3,false
56,108,160,56,27.0,4,56,49,14.0,1,false
36,36,36,36,18.0,2,36,36,18.0,1,false
36,72,108,36,18.0,4,36,33,9.0,1,false
232,452,672,232,113.0,4,232,216,58.0,1,false
53,55,57,54,18.0,3,53,54,17.66666603088379,2,false
193,492,791,237,61.0,8,193,219,24.125,2,false
258,544,830,258,108.0,5,258,242,51.599998474121094,2,false
257,259,261,257,86.0,3,257,257,85.66666412353516,2,false
41,76,111,35,15.0,5,41,32,8.199999809265137,2,false
110,219,328,110,54.0,4,110,106,27.5,1,false
42,89,136,43,17.0,5,42,39,8.399999618530273,1,false
221,442,663,225,88.0,5,221,212,44.20000076293945,1,false
60,120,180,61,30.0,4,60,55,15.0,1,false
36,73,110,37,18.0,4,36,32,9.0,1,false
698,1392,2086,436,139.0,10,698,410,69.80000305175781,3,false
108,214,320,108,53.0,4,108,104,27.0,1,false
1433,2956,4479,1427,211.0,14,1433,1352,102.35713958740234,3,false
151,151,151,151,75.0,2,151,151,75.5,1,false
137,285,433,140,57.0,5,137,132,27.399999618530273,1,false
376,420,464,384,140.0,3,376,384,125.33333587646484,1,false
47,70,93,42,11.0,6,47,42,7.833333492279053,1,false
61,61,61,61,30.0,2,61,61,30.5,1,false
51,51,51,51,25.0,2,51,51,25.5,1,false
159,315,471,159,78.0,4,159,153,39.75,1,false
123,124,125,123,41.0,3,123,123,41.0,1,false
2053,2056,2059,2053,685.0,3,2053,2053,684.3333129882812,2,false
42,82,122,41,16.0,5,42,37,8.399999618530273,2,false
253,253,253,253,126.0,2,253,253,126.5,1,false
70,142,214,70,35.0,4,70,67,17.5,1,false
202,224,246,202,56.0,4,202,202,50.5,2,false
35,69,103,35,17.0,4,35,32,8.75,1,false
36,72,108,36,18.0,4,36,33,9.0,1,false
67,67,67,67,33.0,2,67,67,33.5,1,false
902,1845,2788,909,369.0,5,902,891,180.39999389648438,1,false
40,82,124,40,20.0,4,40,37,10.0,1,false
36,73,110,37,18.0,4,36,32,9.0,1,false
182,311,440,211,51.0,6,182,211,30.33333396911621,2,false
55,57,59,56,14.0,4,55,56,13.75,2,false
153,320,487,157,64.0,5,153,147,30.600000381469727,1,false
50,93,136,44,18.0,5,50,40,10.0,1,false
66,138,210,69,17.0,8,66,63,8.25,2,false
158,158,158,158,79.0,2,158,158,79.0,1,false
