Version, File Name, Size, LOCAdded, LOCTouched, MaxLOCAdded, averageLOCAdded, NR, Churn, MaxChurn, AverageChurn, nAuthors, Buggy
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java, 366, 390,414,365,78.0,5,366,365,73.19999694824219,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java, 185, 207,229,184,41.0,5,185,184,37.0,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java, 586, 645,704,585,161.0,4,586,585,146.5,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java, 105, 106,107,61,53.0,2,105,61,52.5,1,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java, 154, 162,170,75,40.0,4,154,75,38.5,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java, 57, 61,65,57,30.0,2,57,57,28.5,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java, 104, 111,118,104,55.0,2,104,104,52.0,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java, 237, 257,277,237,128.0,2,237,237,118.5,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java, 71, 78,85,70,19.0,4,71,70,17.75,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java, 124, 127,130,124,63.0,2,124,124,62.0,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java, 98, 98,98,98,98.0,1,98,98,98.0,1,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java, 183, 202,221,180,50.0,4,183,180,45.75,2,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java, 49, 49,49,49,49.0,1,49,49,49.0,1,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java, 148, 148,148,148,148.0,1,148,148,148.0,1,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java, 36, 41,46,36,20.0,2,36,36,18.0,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java, 79, 94,109,78,31.0,3,79,78,26.33333396911621,2,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java, 133, 139,145,133,46.0,3,133,133,44.33333206176758,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java, 37, 37,37,37,37.0,1,37,37,37.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java, 160, 167,174,159,41.0,4,160,159,40.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java, 253, 255,257,251,127.0,2,253,251,126.5,1,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java, 27, 28,29,27,14.0,2,27,27,13.5,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java, 92, 126,160,91,31.0,4,92,91,23.0,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java, 64, 65,66,64,32.0,2,64,64,32.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java, 551, 621,691,536,88.0,7,551,536,78.71428680419922,3,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java, 196, 224,252,178,37.0,6,196,178,32.66666793823242,3,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java, 204, 204,204,204,204.0,1,204,204,204.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java, 27, 27,27,27,27.0,1,27,27,27.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java, 77, 79,81,77,39.0,2,77,77,38.5,2,false
1, hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java, 6367, 12222,18077,6127,6111.0,2,6367,6095,3183.5,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java, 704, 742,780,703,247.0,3,704,703,234.6666717529297,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java, 105, 155,205,104,51.0,3,105,104,35.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java, 471, 633,795,487,70.0,9,471,487,52.33333206176758,3,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java, 216, 224,232,216,56.0,4,216,216,54.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java, 81, 92,103,80,23.0,4,81,80,20.25,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java, 48, 50,52,48,25.0,2,48,48,24.0,2,false
1, hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java, 162, 163,164,162,81.0,2,162,162,81.0,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java, 92, 121,150,81,40.0,3,92,81,30.66666603088379,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java, 47, 51,55,47,25.0,2,47,47,23.5,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java, 144, 144,144,144,144.0,1,144,144,144.0,1,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java, 165, 182,199,138,45.0,4,165,138,41.25,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java, 39, 39,39,39,39.0,1,39,39,39.0,1,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java, 157, 210,263,167,26.0,8,157,167,19.625,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java, 123, 130,137,122,32.0,4,123,122,30.75,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java, 427, 439,451,426,146.0,3,427,426,142.3333282470703,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java, 533, 556,579,521,69.0,8,533,521,66.625,3,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java, 83, 86,89,82,28.0,3,83,82,27.66666603088379,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java, 149, 168,187,133,33.0,5,149,133,29.799999237060547,3,true
1, hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java, 153, 155,157,153,77.0,2,153,153,76.5,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java, 38, 43,48,38,21.0,2,38,38,19.0,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java, 64, 65,66,64,32.0,2,64,64,32.0,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java, 130, 142,154,129,35.0,4,130,129,32.5,2,true
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java, 137, 269,401,126,53.0,5,137,126,27.399999618530273,3,true
1, hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java, 37, 37,37,37,37.0,1,37,37,37.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java, 58, 59,60,58,29.0,2,58,58,29.0,2,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java, 32, 32,32,32,32.0,1,32,32,32.0,1,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java, 28, 28,28,28,28.0,1,28,28,28.0,1,false
1, hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java, 39, 40,41,39,20.0,2,39,39,19.5,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java, 103, 127,151,101,21.0,6,103,101,17.16666603088379,2,true
1, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java, 74, 74,74,74,74.0,1,74,74,74.0,1,false
1, hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java, 63, 67,71,63,33.0,2,63,63,31.5,2,false
1, bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java, 137, 235,333,137,58.0,4,137,137,34.25,2,false
1, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java, 173, 193,213,170,48.0,4,173,170,43.25,3,true
